id,class,UTR5len,CDSlen,UTR3len,t_inter_range,q_inter_range,energy,suboptts,suboptqs,suboptes
NC_000943.1,MBFV,95,10305,614,"(32, 50)","(502, 519)",-8.84,"([(81, 86)], [(81, 86)])","([(477, 482)], [(477, 482)])","([-2.15], [-2.15])"
NC_007580.2,MBFV,98,10293,549,"(33, 50)","(443, 459)",-11.81,"([(56, 62)], [(56, 62)])","([(508, 514)], [(508, 514)])","([-1.78], [-1.78])"
NC_006551.1,MBFV,96,10305,665,"(41, 51)","(551, 561)",-8.45,"([(90, 94)], [(90, 94)])","([(585, 589)], [(585, 589)])","([-0.98], [-0.98])"
NC_001563.2,MBFV,96,10293,573,"(33, 50)","(467, 483)",-11.27,"([(68, 72)], [(68, 72)])","([(506, 510)], [(506, 510)])","([-1.11], [-1.11])"
NC_009942.1,MBFV,96,10302,631,"(39, 50)","(525, 536)",-8.9,"([(90, 94)], [(90, 94)])","([(556, 560)], [(556, 560)])","([-1.93], [-1.93])"
NC_009029.2,MBFV,83,10233,558,"(40, 50)","(456, 466)",-6.91,"([(16, 23)], [(16, 23)])","([(498, 505)], [(498, 505)])","([-1.85], [-1.85])"
NC_032088.1,MBFV,88,10230,546,"(39, 50)","(445, 456)",-8.86,"([], [])","([], [])","([], [])"
NC_012534.1,MBFV,94,10281,566,"(35, 53)","(460, 477)",-13.02,"([(95, 99)], [(95, 99)])","([(492, 496)], [(492, 496)])","([-2.22], [-2.22])"
NC_009028.2,MBFV,92,10275,388,"(40, 50)","(282, 292)",-6.64,"([(79, 83)], [(79, 83)])","([(255, 259)], [(255, 259)])","([-0.4], [-0.4])"
NC_018705.3,MBFV,94,10284,565,"(35, 53)","(527, 544)",-12.3,"([], [])","([], [])","([], [])"
NC_040776.1,MBFV,92,10278,424,"(39, 51)","(318, 330)",-11.32,"([(89, 93)], [(89, 93)])","([(351, 355)], [(351, 355)])","([-2.61], [-2.61])"
NC_034151.1,MBFV,97,10284,556,"(33, 51)","(446, 463)",-10.09,"([(35, 39)], [(89, 93)])","([(476, 480)], [(479, 483)])","([-2.76], [-2.0])"
NC_015843.2,MBFV,94,10278,618,"(42, 53)","(512, 523)",-8.72,"([], [])","([], [])","([], [])"
NC_012532.1,MBFV,106,10260,428,"(-12, -1)","(339, 350)",-9.0,"([(40, 50)], [(40, 50)])","([(320, 330)], [(320, 330)])","([-7.88], [-7.88])"
NC_035889.1,MBFV,107,10272,429,"(40, 58)","(312, 330)",-8.57,"([], [])","([], [])","([], [])"
NC_008719.1,MBFV,116,10218,459,"(39, 56)","(347, 364)",-13.97,"([(17, 23)], [(17, 23)])","([(416, 422)], [(416, 422)])","([-2.69], [-2.69])"
NC_012735.1,MBFV,118,10218,478,"(37, 56)","(366, 384)",-13.99,"([], [])","([], [])","([], [])"
NC_002031.1,MBFV,118,10236,508,"(29, 47)","(395, 412)",-13.22,"([(67, 72)], [(67, 72)])","([(490, 495)], [(490, 495)])","([-1.32], [-1.32])"
NC_008718.1,NKV,119,10236,155,"(33, 41)","(126, 134)",-5.21,"([(83, 88)], [(83, 88)])","([(142, 147)], [(142, 147)])","([-3.36], [-3.36])"
NC_005039.1,NKV,150,10278,429,"(51, 60)","(299, 308)",-8.76,"([(72, 78)], [(72, 78)])","([(337, 343)], [(337, 343)])","([-2.48], [-2.48])"
NC_003635.1,NKV,109,10125,366,"(-7, 13)","(259, 277)",-7.83,"([(-37, -26)], [(65, 78)])","([(305, 316)], [(263, 280)])","([-5.89], [-6.02])"
NC_004119.1,NKV,108,10125,457,"(9, 27)","(345, 363)",-9.55,"([(-32, -22)], [(-32, -22)])","([(396, 406)], [(396, 406)])","([-2.82], [-2.82])"
NC_003690.1,TBFV,130,10245,568,"(-18, -4)","(484, 498)",-12.09,"([(25, 37)], [(25, 37)])","([(445, 458)], [(445, 458)])","([-9.36], [-9.36])"
NC_001809.1,TBFV,129,10245,497,"(-18, -4)","(413, 427)",-12.28,"([(-7, 4)], [(-3, 11)])","([(436, 448)], [(416, 428)])","([-5.93], [-6.19])"
NC_005062.1,TBFV,132,10245,410,"(-18, -4)","(326, 340)",-12.05,"([(-7, 4)], [(29, 34)])","([(349, 361)], [(337, 342)])","([-5.32], [-3.66])"
NC_003687.1,TBFV,111,10248,480,"(-24, -10)","(396, 410)",-11.71,"([(92, 97)], [(92, 97)])","([(332, 337)], [(332, 337)])","([-6.1], [-6.1])"
NC_027709.1,TBFV,132,10245,493,"(-18, -4)","(409, 423)",-12.36,"([(25, 34)], [(25, 34)])","([(373, 383)], [(373, 383)])","([-7.1], [-7.1])"
NC_001672.1,TBFV,132,10245,764,"(-18, -4)","(680, 694)",-12.42,"([(-7, 5)], [(29, 34)])","([(702, 715)], [(691, 696)])","([-5.91], [-3.55])"
NC_023439.1,TBFV,146,10260,282,"(-146, -133)","(53, 65)",-9.88,"([(-144, -137)], [(68, 73)])","([(-42, -35)], [(74, 79)])","([-5.17], [-2.57])"
NC_023424.1,TBFV,131,10269,273,"(46, 51)","(200, 205)",-4.39,"([(-7, -3)], [(-7, -3)])","([(263, 267)], [(263, 267)])","([-0.06], [-0.06])"
